Title,Storyline
Grand Theft Hamlet,"Two struggling actors find solace from lockdown isolation by staging Hamlet in Grand Theft Auto Online (2013), battling griefers as they connect through William Shakespeare."
Gujeyeog-eseo sal-a dol-aon dwaeji,"To escape mistreatment, a pig tries to become human. At the same time, a disillusioned soldier deserts the army and takes refuge in the forest to re-engage with his animal self. Their destinies cross in their respective quests for a new existence."
Haikyu!! The Dumpster Battle,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round."
Happy Little Submarine: 80 Days Around the Earth,"When earthquakes cause pollution in various underwater locations simultaneously, the Little Submarine exploration team goes into action to save the ocean underworld."
Happylittle Submarine: The Adventure with Dragon,N/A
Harmonie,Landing on the planet Harmonie is the first step of the space mission led by Jesús Pérez. The atmosphere is breathable and the colors are soft; everything seems to align with his peaceful and generous intentions.
Harold and the Purple Crayon,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life."
Healing for the Nations,An animated vignette built on dreams and visions for the nation of Canada.
Heartsping : Teenieping of Love,"In order to find her soulmate, Romi wandered deep into the jungle. There, she meets Heartsping, a Teenieping with passion. On the way, they face grave dangers. Will Romi and Heartsping's friendship move on?"
Hello My Beautiful Creatures,"This whimsical stop-motion musical tells the tale of a utopian city of toys and their relationship to each other as well as their ""God,"" an awkward and distant human man with an average job."
"Hey, Tete",N/A
Hitpig,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
Hola Frida,"Frida Kahlo is a little girl who is different. Sparkling and vibrant, everything interests her. And when life's trials and tribulations come her way, she faces them with her overflowing imagination."
Huang Pi: God of Money,N/A
Hubworld,Hubworld is a reflection on the decay of virtual spaces online. It follows a solitary protagonist as they journey through the fictional 2000's MMO right before the game closes it's servers for good.
I Am What I Am 2,"A Juan, an unknown person who came to Shanghai to work, agreed to participate in the ""Shanghai Fight Night"" martial arts competition on behalf of the declining Chuanwu Boxing Gym in order to make money to treat his father's illness."
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Il segreto di Liberato,"Liberato, the anonymous Neapolitan artist whose career began in 2017 with music fusing Neapolitan neo-melodic tradition, R&B, and electronics with hip-hop influences. Nothing is known about him, not even his face, only his symbol: a rose."
Ilia Jostojooye Ghahreman,N/A
